incident_id,trace,priority
INC0000104,[L]N;[S]N;[L]A;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000105,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000110,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000111,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000112,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000113,[S]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000114,[S]N;[L]N;[M]A;[L]N;[L]N;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000115,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000116,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000119,[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000121,[M]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000122,[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,3 - Moderate
INC0000123,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000124,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000125,[S]N;[L]N;[L]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000126,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000128,[S]N;[L]N;[L]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000129,[S]N;[L]W;[M]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000130,[S]N;[L]N;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000131,[M]N;[S]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000132,[S]N;[L]N;[L]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000134,[L]N;[S]N;[S]A;[S]R;[S]C;,4 - Low
INC0000135,[M]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]R;[S]R;[S]C;,3 - Moderate
INC0000137,[S]N;[M]A;[S]R;[L]N;[S]C;,3 - Moderate
INC0000139,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000140,[M]N;[S]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000141,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000146,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000147,[M]N;[S]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000148,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000149,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000152,[S]N;[L]W;[M]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000153,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000155,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000156,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000158,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000159,[S]N;[L]N;[M]A;[L]N;[L]R;[S]R;[S]C;,3 - Moderate
INC0000160,[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000161,[L]N;[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000164,[S]N;[S]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000166,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000167,[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000168,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000169,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000171,[S]N;[L]N;[M]A;[L]N;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000172,[L]N;[S]N;[L]N;[L]A;[L]A;[S]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000173,[S]N;[L]N;[S]A;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000174,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000176,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000178,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000179,[M]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000192,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000193,[S]N;[S]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000194,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000195,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000197,[L]N;[S]N;[L]N;[L]N;[L]A;[L]A;[L]W;[L]W;[L]A;[L]A;[L]A;[S]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[L]A;[L]W;[L]A;[S]R;[S]C;,3 - Moderate
INC0000199,[M]N;[M]A;[S]R;[S]C;,4 - Low
INC0000204,[S]N;[M]A;[S]R;[L]R;[S]C;,4 - Low
INC0000207,[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,3 - Moderate
INC0000211,[M]N;[S]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000213,[M]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000217,[S]N;[L]N;[M]A;[L]N;[L]N;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000218,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[L]R;[S]C;,3 - Moderate
INC0000220,[M]N;[S]A;[L]A;[L]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000221,[L]N;[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000223,[S]N;[L]N;[L]A;[S]A;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000228,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000230,[S]N;[S]A;[L]W;[L]W;[L]A;[L]W;[L]W;[L]A;[S]R;[S]C;,3 - Moderate
INC0000232,[L]N;[S]N;[L]N;[M]A;[L]N;[L]N;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000236,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000237,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000246,[S]N;[S]A;[L]A;[L]W;[L]W;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000250,[L]N;[S]N;[L]N;[L]A;[L]A;[S]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]R;[S]R;[S]C;,3 - Moderate
INC0000253,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000257,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000259,[S]N;[S]A;[L]A;[L]A;[L]A;[L]W;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000260,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000261,[M]N;[L]A;[S]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,1 - Critical
INC0000262,[M]N;[L]A;[S]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000265,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000266,[M]N;[S]A;[L]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000268,[S]N;[L]N;[L]W;[L]A;[L]A;[L]A;[L]W;[L]A;[L]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000269,[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000272,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,4 - Low
INC0000273,[M]N;[S]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000278,[M]N;[S]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000279,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000280,[L]N;[S]N;[L]N;[L]N;[L]N;[L]A;[L]W;[L]W;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000282,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000283,[M]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000284,[S]N;[S]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000285,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000286,[M]N;[S]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000290,[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000292,[L]N;[S]N;[L]N;[L]A;[S]A;[L]A;[L]A;[L]A;[S]R;[S]C;,4 - Low
INC0000294,[L]N;[S]N;[L]N;[L]W;[L]W;[L]W;[L]W;[L]R;[L]A;[L]A;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]A;[L]A;[L]R;[S]R;[S]C;,3 - Moderate
INC0000295,[S]N;[L]W;[M]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000297,[S]N;[L]N;[M]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000298,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000301,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000302,[S]N;[S]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000303,[M]N;[S]A;[L]A;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000304,[S]N;[L]W;[M]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000305,[S]N;[L]N;[M]A;[L]N;[L]N;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000306,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000307,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000310,[M]N;[S]A;[L]W;[S]R;[S]C;,4 - Low
INC0000315,[S]N;[L]N;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000317,[M]N;[S]A;[L]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000318,[M]N;[S]A;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000319,[S]N;[L]N;[M]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000323,[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000324,[M]N;[S]A;[L]A;[L]W;[S]R;[S]C;,4 - Low
INC0000325,[M]N;[S]A;[L]W;[S]R;[S]C;,4 - Low
INC0000329,[M]N;[L]A;[S]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000330,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000332,[S]N;[L]W;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[S]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000333,[L]W;[M]N;[M]A;[S]R;[S]C;,4 - Low
INC0000336,[L]W;[M]N;[L]W;[M]A;[S]R;[S]C;,4 - Low
INC0000337,[L]W;[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000338,[L]W;[M]N;[L]W;[M]A;[L]W;[S]R;[S]C;,4 - Low
INC0000339,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000341,[L]W;[M]N;[S]A;[L]A;[L]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000343,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000345,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000346,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000347,[S]N;[L]N;[M]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000348,[M]N;[S]A;[L]A;[L]W;[L]W;[L]A;[S]R;[S]C;,4 - Low
INC0000351,[M]N;[S]A;[L]W;[S]R;[S]C;,4 - Low
INC0000352,[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000353,[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000355,[S]N;[L]W;[S]A;[S]R;[S]C;,3 - Moderate
INC0000356,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000357,[M]N;[S]A;[L]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000358,[L]N;[S]N;[M]A;[S]R;[S]C;[L]C;,4 - Low
INC0000359,[M]N;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000361,[S]N;[S]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000363,[M]N;[S]A;[L]A;[L]W;[S]R;[S]C;,4 - Low
INC0000369,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000370,[S]N;[S]A;[L]A;[L]R;[S]R;[S]C;,1 - Critical
INC0000371,[M]N;[S]A;[L]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000372,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000373,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000374,[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000375,[M]N;[S]A;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000376,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000377,[M]N;[S]A;[L]A;[S]R;[S]C;,4 - Low
INC0000378,[M]N;[S]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000379,[M]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000384,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000385,[M]N;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000387,[S]N;[L]N;[M]A;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000388,[L]N;[S]N;[L]W;[L]W;[S]A;[S]R;[S]C;,3 - Moderate
INC0000392,[S]N;[L]N;[L]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000393,[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000395,[S]N;[L]N;[L]N;[L]N;[L]W;[L]W;[L]W;[S]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000396,[M]N;[L]A;[L]A;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000398,[M]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000399,[M]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000400,[M]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000401,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000403,[M]N;[S]A;[L]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]A;[L]W;[L]W;[L]W;[S]R;[L]R;[L]A;[L]A;[L]A;[L]A;[L]W;[L]A;[L]R;[S]C;,3 - Moderate
INC0000405,[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000418,[S]N;[S]A;[L]A;[L]A;[L]W;[L]W;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000419,[L]N;[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000425,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000433,[S]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]R;[S]C;,1 - Critical
INC0000434,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000439,[M]N;[S]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000440,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000441,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]R;[L]R;[L]R;[L]R;[L]R;[S]C;,3 - Moderate
INC0000455,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000458,[L]N;[S]N;[L]N;[L]N;[L]N;[S]A;[L]A;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000464,[L]N;[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000467,[S]N;[L]N;[L]N;[L]N;[L]N;[L]A;[L]A;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000468,[S]N;[L]N;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000469,[S]N;[L]W;[M]A;[S]R;[S]C;,3 - Moderate
INC0000473,[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000477,[L]N;[S]N;[S]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000480,[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000486,[M]N;[S]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000491,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000493,[L]N;[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]A;[S]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000494,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000497,[L]N;[S]N;[L]N;[L]A;[S]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000499,[L]N;[S]N;[S]A;[L]A;[L]W;[L]A;[S]R;[S]C;,3 - Moderate
INC0000500,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000503,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000504,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000505,[S]N;[L]N;[L]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000508,[S]N;[L]N;[L]N;[S]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,2 - High
INC0000509,[L]N;[S]N;[L]N;[L]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000510,[S]N;[L]N;[L]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000511,[L]N;[S]N;[S]A;[S]R;[S]C;,4 - Low
INC0000512,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000513,[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,3 - Moderate
INC0000516,[S]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000517,[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]A;[S]A;[S]R;[S]C;,1 - Critical
INC0000519,[S]N;[L]N;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000520,[S]N;[L]N;[M]A;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000521,[M]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000524,[M]N;[S]A;[L]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000525,[L]N;[S]N;[L]N;[L]N;[L]N;[L]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000526,[M]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000527,[S]N;[L]N;[M]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000528,[S]N;[L]N;[L]A;[S]A;[S]R;[S]C;,4 - Low
INC0000530,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000532,[L]N;[S]N;[L]N;[M]A;[L]W;[S]R;[S]C;,4 - Low
INC0000534,[S]N;[L]N;[L]N;[L]N;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000535,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000536,[S]N;[L]N;[L]N;[L]N;[S]A;[L]A;[L]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000537,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000538,[S]N;[S]A;[S]R;[S]C;,2 - High
INC0000539,[S]N;[L]N;[M]A;[L]N;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000540,[M]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000541,[S]N;[L]N;[L]N;[L]N;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000543,[S]N;[S]A;[L]A;[L]A;[L]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000544,[S]N;[L]W;[S]A;[S]R;[S]C;,4 - Low
INC0000545,[S]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000547,[S]N;[L]N;[L]N;[L]A;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000548,[M]N;[S]A;[L]A;[L]A;[L]A;[S]R;[S]C;,1 - Critical
INC0000549,[S]N;[S]A;[L]W;[L]A;[S]R;[S]C;,3 - Moderate
INC0000550,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,4 - Low
INC0000552,[S]N;[L]N;[L]N;[L]N;[L]A;[L]A;[L]A;[L]A;[S]A;[S]R;[S]C;,3 - Moderate
INC0000553,[M]N;[S]A;[L]A;[L]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000554,[L]N;[S]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000557,[S]N;[L]N;[M]A;[S]R;[S]C;,3 - Moderate
INC0000558,[S]N;[L]N;[L]A;[L]A;[L]R;[L]A;[L]A;[L]A;[L]A;[L]A;[S]A;[L]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000559,[L]N;[L]N;[S]N;[L]N;[L]N;[L]W;[L]W;[S]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000561,[S]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]R;[S]C;,3 - Moderate
INC0000564,[M]N;[S]A;[L]A;[L]A;[S]R;[S]C;,3 - Moderate
INC0000565,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]R;[S]C;,3 - Moderate
INC0000566,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,3 - Moderate
INC0000568,[S]N;[S]A;[L]A;[L]A;[S]R;[S]C;,2 - High
INC0000569,[L]N;[S]N;[S]A;[L]A;[L]A;[L]W;[S]R;[S]C;,3 - Moderate
INC0000570,[S]N;[L]N;[L]N;[L]A;[L]A;[S]A;[S]R;[S]C;,4 - Low
