incident_id,alignment,fitness,missing,repetition,mismatch,totMissing,totRepetition,totMismatch,costMissing,costRepetition,costMismatch,costTotal,severity,impact,urgency,priority,category,openTs,closeTs,reassignment,reopen,updates,rfc,sla
INC0000077,[L]N;[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,0.6,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 3, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,3,1,0.25,0.125,0.05833333333333333,0.14425,low,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 08:27,5/3/2016 10:00,0,0,5,?,true
INC0000079,[S]N;[L]N;[S]A;[S]R;[S]C;,0.8888888888888888,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,1,0,0.0,0.05,0.0,0.017,low,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 08:32,5/3/2016 12:00,1,0,4,?,true
INC0000080,[L]N;[L]N;[S]N;[L]N;[L]N;[S]A;[S]R;[S]C;,0.6666666666666667,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 4, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,4,0,0.0,0.125,0.0,0.0425,low,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 08:33,7/3/2016 12:00,0,0,7,?,true
INC0000083,[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,0.6666666666666667,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 2, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,2,1,0.25,0.1,0.06999999999999999,0.1396,low,3 - Low,3 - Low,4 - Low,Category 24,29/2/2016 08:39,5/3/2016 17:00,1,0,4,?,true
INC0000084,[M]N;[S]A;[L]W;[L]W;[L]W;[S]R;[S]C;,0.6,"{'N': 1, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 3, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",1,3,0,0.25,0.1,0.0,0.1165,low,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 08:39,17/4/2016 15:07,0,0,19,CHG0000647,false
INC0000085,[L]N;[S]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 08:41,7/3/2016 15:00,0,0,6,?,true
INC0000086,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,0.46153846153846156,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 6, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,6,1,0.25,0.16666666666666666,0.03888888888888888,0.152,low,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 08:43,6/3/2016 16:00,1,0,8,?,true
INC0000087,[L]N;[S]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 08:47,7/3/2016 15:00,0,0,3,?,true
INC0000088,[S]N;[M]A;[S]R;[S]C;,0.8571428571428572,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,0,0,0.25,0.0,0.0,0.0825,low,2 - Medium,2 - Medium,3 - Moderate,Category 42,29/2/2016 08:48,5/3/2016 10:00,0,0,2,?,true
INC0000089,[M]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[S]R;[S]C;,0.4285714285714286,"{'N': 1, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 4, 'W': 3, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",1,7,0,0.25,0.16,0.0,0.13690000000000002,low,2 - Medium,3 - Low,4 - Low,Category 45,29/2/2016 08:51,8/3/2016 15:00,3,0,9,?,true
INC0000092,[M]N;[S]A;[L]A;[L]A;[S]R;[S]C;,0.6666666666666667,"{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 2, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,2,0,0.25,0.1,0.0,0.1165,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 08:55,12/3/2016 09:00,1,0,6,?,false
INC0000093,[M]N;[M]A;[S]R;[S]C;,0.6666666666666667,"{'N': 1, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",2,0,0,1,0.0,0.0,0.33,low,2 - Medium,2 - Medium,3 - Moderate,Category 61,29/2/2016 08:56,5/3/2016 10:00,0,0,1,?,true
INC0000094,[M]N;[S]A;[L]W;[L]W;[S]R;[S]C;,0.6666666666666667,"{'N': 1, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 2, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",1,2,0,0.25,0.08000000000000002,0.0,0.10970000000000002,low,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 08:58,24/3/2016 18:50,0,0,10,?,false
INC0000098,[L]N;[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,0.6,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 3, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,3,1,0.25,0.125,0.05833333333333333,0.14425,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:02,7/3/2016 15:00,1,0,5,?,true
INC0000099,[L]N;[S]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 09:03,6/3/2016 10:00,1,0,3,?,true
INC0000100,[M]N;[L]A;[S]A;[S]R;[S]C;,0.75,"{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:05,7/3/2016 15:00,0,0,3,?,true
INC0000101,[S]N;[L]N;[S]A;[L]A;[L]A;[S]R;[S]C;,0.7272727272727273,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 2, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,3,0,0.0,0.10714285714285714,0.0,0.03642857142857143,low,2 - Medium,3 - Low,4 - Low,Category 55,29/2/2016 09:05,5/3/2016 12:00,0,0,6,?,true
INC0000102,[S]N;[L]N;[L]W;[L]W;[L]W;[L]W;[L]A;[L]A;[L]A;[L]A;[S]A;[L]A;[L]W;[L]W;[L]W;[L]R;[L]A;[S]R;[S]C;,0.34782608695652173,"{'N': 0, 'W': 0, 'A': 0, 'R': 0, 'C': 0}","{'N': 1, 'W': 7, 'A': 6, 'R': 1, 'C': 0}","{'N': 0, 'W': 0, 'A': 0, 'R': 1, 'C': 0}",0,15,1,0.0,0.1763157894736842,0.005263157894736842,0.061684210526315786,low,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 09:06,24/3/2016 18:59,4,1,19,?,false
INC0000103,[L]N;[S]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:07,7/3/2016 15:00,0,0,3,?,true
INC0000104,[S]N;[L]N;[S]A;[L]A;[L]A;[S]R;[S]C;,0.7272727272727273,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 2, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,3,0,0.0,0.10714285714285714,0.0,0.03642857142857143,low,1 - High,2 - Medium,2 - High,Category 53,29/2/2016 09:08,6/3/2016 12:00,1,0,6,?,false
INC0000105,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,0.5,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 5, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,5,1,0.25,0.15625,0.04375,0.1500625,low,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 09:10,5/3/2016 12:00,1,0,7,?,true
INC0000110,[M]N;[L]A;[S]A;[S]R;[S]C;,0.75,"{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:13,7/3/2016 15:00,0,0,3,?,true
INC0000111,[L]N;[S]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:14,7/3/2016 15:00,0,0,3,?,true
INC0000112,[L]N;[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,0.6,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 3, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,3,1,0.25,0.125,0.05833333333333333,0.14425,low,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 09:15,7/3/2016 16:00,2,0,5,?,true
INC0000113,[S]N;[S]A;[L]A;[S]R;[S]C;,0.8888888888888888,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,1,0,0.0,0.05,0.0,0.017,low,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 09:18,7/3/2016 20:00,0,0,4,?,true
INC0000114,[S]N;[L]N;[M]A;[L]N;[L]N;[L]W;[L]W;[L]W;[S]R;[S]C;,0.46153846153846156,"{'N': 0, 'A': 1, 'W': 0, 'R': 0, 'C': 0}","{'N': 3, 'A': 0, 'W': 3, 'R': 0, 'C': 0}","{'N': 0, 'A': 1, 'W': 0, 'R': 0, 'C': 0}",1,6,1,0.25,0.15,0.03888888888888888,0.14633333333333334,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:18,8/3/2016 02:00,1,0,9,?,true
INC0000115,[L]N;[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,0.6,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 3, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,3,1,0.25,0.125,0.05833333333333333,0.14425,low,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:20,6/3/2016 09:00,2,0,5,?,true
INC0000116,[L]N;[S]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 09:20,6/3/2016 13:00,1,0,3,?,true
INC0000119,[S]N;[S]A;[S]R;[S]C;,1.0,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,0,0,0.0,0.0,0.0,0.0,none,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:22,6/3/2016 10:00,0,0,3,?,true
INC0000121,[M]N;[S]A;[S]R;[S]C;,0.8571428571428572,"{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,0,0,0.25,0.0,0.0,0.0825,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:25,5/3/2016 17:00,0,0,2,?,true
INC0000122,[S]N;[L]N;[M]A;[L]N;[S]R;[S]C;,0.6666666666666667,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 2, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}",1,2,1,0.25,0.1,0.06999999999999999,0.1396,low,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 09:27,6/3/2016 17:00,1,0,4,?,true
INC0000123,[L]N;[S]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:29,7/3/2016 15:00,0,0,3,?,true
INC0000124,[M]N;[L]A;[S]A;[S]R;[S]C;,0.75,"{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:30,5/3/2016 12:00,0,0,3,?,true
INC0000125,[S]N;[L]N;[L]N;[S]A;[L]A;[S]R;[S]C;,0.7272727272727273,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 2, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,3,0,0.0,0.10714285714285714,0.0,0.03642857142857143,low,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:31,6/3/2016 09:00,1,0,6,?,true
INC0000126,[L]N;[S]N;[M]A;[S]R;[S]C;,0.75,"{'N': 0, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",1,1,0,0.25,0.0625,0.0,0.10375000000000001,low,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:31,7/3/2016 15:00,0,0,3,?,true
INC0000128,[S]N;[L]N;[L]N;[S]A;[L]A;[S]R;[S]C;,0.7272727272727273,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 2, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,3,0,0.0,0.10714285714285714,0.0,0.03642857142857143,low,2 - Medium,2 - Medium,3 - Moderate,Category 44,29/2/2016 09:36,24/3/2016 18:50,2,0,10,?,false
INC0000129,[S]N;[L]W;[M]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,0.3529411764705882,"{'N': 0, 'W': 0, 'A': 1, 'R': 0, 'C': 0}","{'N': 0, 'W': 10, 'A': 0, 'R': 0, 'C': 0}","{'N': 0, 'W': 0, 'A': 0, 'R': 0, 'C': 0}",1,10,0,0.25,0.15384615384615385,0.0,0.13480769230769232,low,2 - Medium,2 - Medium,3 - Moderate,Category 23,29/2/2016 09:40,27/3/2016 13:59,2,0,17,?,false
INC0000130,[S]N;[L]N;[S]A;[L]A;[S]R;[S]C;,0.8,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 1, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,2,0,0.0,0.08333333333333333,0.0,0.028333333333333335,low,2 - Medium,2 - Medium,3 - Moderate,Category 61,29/2/2016 09:41,8/3/2016 11:00,1,0,5,?,true
INC0000131,[M]N;[S]A;[L]W;[S]R;[S]C;,0.75,"{'N': 1, 'A': 0, 'W': 0, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 1, 'R': 0, 'C': 0}","{'N': 0, 'A': 0, 'W': 0, 'R': 0, 'C': 0}",1,1,0,0.25,0.05,0.0,0.0995,low,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 09:41,8/3/2016 10:00,0,0,3,?,true
INC0000132,[S]N;[L]N;[L]N;[S]A;[S]R;[S]C;,0.8,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 2, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,2,0,0.0,0.08333333333333333,0.0,0.028333333333333335,low,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:42,8/3/2016 16:00,2,0,5,?,true
INC0000134,[S]N;[L]N;[S]A;[S]R;[S]C;,0.8888888888888888,"{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 1, 'A': 0, 'R': 0, 'C': 0, 'W': 0}","{'N': 0, 'A': 0, 'R': 0, 'C': 0, 'W': 0}",0,1,0,0.0,0.05,0.0,0.017,low,3 - Low,3 - Low,4 - Low,Category 62,29/2/2016 09:44,8/3/2016 09:00,1,0,4,?,true
